G,C,B,A,Ic,Ib,Ia,Vc,Vb,Va,,,,,,,,,,,,,,,,,,,
1,0,0,1,0.9791,0.9814,3.3345,1.1722,1.1937,0.3335,,,,,,,,,,,,,,,,,,,
1,0,0,1,0.9654,0.9783,3.2306,1.168,1.1851,0.3554,,,,,,,,,,,,,,,,,,,
1,0,0,1,0.9542,0.9643,3.1328,1.1639,1.1772,0.3759,,,,,,,,,,,,,,,,,,,
1,0,0,1,0.9773,0.9871,3.0405,1.160,1.1698,0.3953,,,,,,,,,,,,,,,,,,,
1,0,0,1,0.9861,0.9923,2.9533,1.1563,1.1629,0.4135,,,,,,,,,,,,,,,,,,,
1,0,0,1,0.9872,0.9892,2.8709,1.1527,1.1564,0.4306,,,,,,,,,,,,,,,,,,,
1,0,0,1,0.9761,0.9854,2.7928,1.1493,1.1504,0.4469,,,,,,,,,,,,,,,,,,,
1,0,0,1,0.9695,0.9765,2.7188,1.146,1.1448,0.4622,,,,,,,,,,,,,,,,,,,
1,0,0,1,0.9765,0.9823,2.6485,1.1428,1.1395,0.4767,,,,,,,,,,,,,,,,,,,
1,0,1,0,0.9814,3.3345,0.9791,1.1937,0.3335,1.1722,,,,,,,,,,,,,,,,,,,
1,0,1,0,0.9783,3.2306,0.9654,1.1851,0.3554,1.168,,,,,,,,,,,,,,,,,,,
1,0,1,0,0.9643,3.1328,0.9542,1.1772,0.3759,1.1639,,,,,,,,,,,,,,,,,,,
1,0,1,0,0.9871,3.0405,0.9773,1.1698,0.3953,1.16,,,,,,,,,,,,,,,,,,,
1,0,1,0,0.9923,2.9533,0.9861,1.1629,0.4135,1.1563,,,,,,,,,,,,,,,,,,,
1,0,1,0,0.9892,2.8709,0.9872,1.1564,0.4306,1.1527,,,,,,,,,,,,,,,,,,,
1,0,1,0,0.9854,2.7928,0.9761,1.1504,0.4469,1.1493,,,,,,,,,,,,,,,,,,,
1,0,1,0,0.9765,2.7188,0.9695,1.1448,0.4622,1.146,,,,,,,,,,,,,,,,,,,
1,0,1,0,0.9823,2.6485,0.9765,1.1395,0.4767,1.1428,,,,,,,,,,,,,,,,,,,
1,1,0,0,3.3345,0.9791,0.9814,0.3335,1.1722,1.1937,,,,,,,,,,,,,,,,,,,
1,1,0,0,3.2306,0.9654,0.9783,0.3554,1.168,1.1851,,,,,,,,,,,,,,,,,,,
1,1,0,0,3.1328,0.9542,0.9643,0.3759,1.1639,1.1772,,,,,,,,,,,,,,,,,,,
1,1,0,0,3.0405,0.9773,0.9871,0.3953,1.16,1.1698,,,,,,,,,,,,,,,,,,,
1,1,0,0,2.9533,0.9861,0.9923,0.4135,1.1563,1.1629,,,,,,,,,,,,,,,,,,,
1,1,0,0,2.8709,0.9872,0.9892,0.4306,1.1527,1.1564,,,,,,,,,,,,,,,,,,,
1,1,0,0,2.7928,0.9761,0.9854,0.4469,1.1493,1.1504,,,,,,,,,,,,,,,,,,,
1,1,0,0,2.7188,0.9695,0.9765,0.4622,1.146,1.1448,,,,,,,,,,,,,,,,,,,
1,1,0,0,2.6485,0.9765,0.9823,0.4767,1.1428,1.1395,,,,,,,,,,,,,,,,,,,
0,1,1,0,5.3791,5.3791,0.9834,0.6501,0.4713,1,,,,,,,,,,,,,,,,,,,
0,1,1,0,5.0847,5.0847,0.9891,0.6712,0.4854,1,,,,,,,,,,,,,,,,,,,
0,1,1,0,4.819,4.819,0.9823,0.6902,0.5012,1,,,,,,,,,,,,,,,,,,,
0,1,1,0,4.5781,4.5781,0.9945,0.7073,0.5177,1,,,,,,,,,,,,,,,,,,,
0,1,1,0,4.359,4.359,0.9873,0.7228,0.5343,1,,,,,,,,,,,,,,,,,,,
