Z3,Z2,Z1,Ic,Ib,Ia,Vc,Vb,Va
0,0,1,0.9773,0.9871,3.0405,1.16,1.1698,0.3953
0,0,1,0.9861,0.9923,2.9533,1.1563,1.1629,0.4135
0,0,1,0.9871,3.0405,0.9773,1.1698,0.3953,1.16
0,0,1,0.9923,2.9533,0.9861,1.1629,0.4135,1.1563
0,1,0,0.9854,0.9761,2.1019,1.1171,1.1009,0.5885
0,1,0,0.9765,0.9695,2.0182,1.113,1.0954,0.6055
0,1,0,2.1019,0.9854,0.9761,0.5885,1.1171,1.1009
0,1,0,2.0182,0.9765,0.9695,0.6055,1.113,1.0954
1,0,0,0.9695,0.9765,1.4843,1.0856,1.0629,0.7124
1,0,0,0.9765,0.9823,1.4418,1.0834,1.0605,0.7209
1,0,0,0.9765,1.4843,0.9695,1.0629,0.7124,1.0856
1,0,0,0.9823,1.4418,0.9765,1.0605,0.7209,1.0834
0,0,1,5.0847,5.0847,0.9891,0.6712,0.4854,1
0,0,1,4.819,4.819,0.9823,0.6902,0.5012,1
0,0,1,5.0847,0.9891,5.0847,0.4854,1,0.6712
0,0,1,4.819,0.9823,4.819,0.5012,1,0.6902
0,1,0,3.6523,3.6523,0.9876,0.7717,0.5961,1
0,1,0,3.5091,3.5091,0.9874,0.7815,0.6098,1
0,1,0,0.9876,3.6523,3.6523,1,0.7717,0.5961
0,1,0,0.9874,3.5091,3.5091,1,0.7815,0.6098
1,0,0,2.5127,2.5127,0.9967,0.8477,0.7132,1
1,0,0,2.4429,2.4429,0.9854,0.8523,0.7208,1
1,0,0,2.5127,0.9967,2.5127,0.7132,1,0.8477
1,0,0,2.4429,0.9854,2.4429,0.7208,1,0.8523
0,0,1,7.7996,7.1971,0.9871,0.2636,0.2636,1.1511
0,0,1,7.8381,7.2031,0.9879,0.2785,0.2785,1.1418
0,0,1,0.9871,7.7996,7.1971,1.1511,0.2636,0.2636
0,0,1,0.9879,7.8381,7.2031,1.1418,0.2785,0.2785
0,1,0,2.6031,2.3915,0.9789,0.2405,0.2405,1.1654
0,1,0,2.5852,2.3979,0.9854,0.2916,0.2916,1.1335
0,1,0,2.3915,0.9789,2.6031,0.2405,1.1654,0.2405
0,1,0,2.3979,0.9854,2.5852,0.2916,1.1335,0.2916
1,0,0,1.3359,1.2173,0.9875,0.1591,0.1591,1.2154
1,0,0,1.3296,1.2161,0.9768,0.2066,0.2066,1.1865
1,0,0,1.2173,0.9875,1.3359,0.1591,1.2154,0.1591
